property_name,count,proportion,cumulative,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23
Interfacial Tension (IFT),35,12.23776224%,12.23776224%,,,,,,,,,,,,,,,,,,,,,,
Particulate Dispersion,32,11.18881119%,23.42657343%,,,,,,,,,,,,,,,,,,,,,,
Critical Micelle Concentration (CMC),31,10.83916084%,34.26573427%,,,,,,,,,,,,,,,,,,,,,,
Dynamic Viscosity (η),30,10.48951049%,44.75524476%,,,,,,,,,,,,,,,,,,,,,,
Catalytic Activity (k_cat),27,9.440559441%,54.1958042%,,,,,,,,,,,,,,,,,,,,,,
Chelation Constant (pK / Kf),25,8.741258741%,62.93706294%,,,,,,,,,,,,,,,,,,,,,,
Adsorption Kinetics,22,7.692307692%,70.62937063%,,,,,,,,,,,,,,,,,,,,,,
Zeta Potential (ζ),20,6.993006993%,77.62237762%,,,,,,,,,,,,,,,,,,,,,,
Biodegradability Rate,19,6.643356643%,84.26573427%,,,,,,,,,,,,,,,,,,,,,,
Cloud Point,14,4.895104895%,89.16083916%,,,,,,,,,,,,,,,,,,,,,,
Surface Tension (γ),9,3.146853147%,92.30769231%,,,,,,,,,,,,,,,,,,,,,,
Emulsification Index (E24),6,2.097902098%,94.40559441%,,,,,,,,,,,,,,,,,,,,,,
Dissolution Time,5,1.748251748%,96.15384615%,,,,,,,,,,,,,,,,,,,,,,
Foam Height,4,1.398601399%,97.55244755%,,,,,,,,,,,,,,,,,,,,,,
Emulsification Index (Phase Separation Time),2,0.6993006993%,98.25174825%,,,,,,,,,,,,,,,,,,,,,,
Pour Point,2,0.6993006993%,98.95104895%,,,,,,,,,,,,,,,,,,,,,,
Particulate Dispersion (Cross-sectional Size),1,0.3496503497%,99.3006993%,,,,,,,,,,,,,,,,,,,,,,
Particulate Dispersion (Natural Settling),1,0.3496503497%,99.65034965%,,,,,,,,,,,,,,,,,,,,,,
HLB (Hydrophilic-Lipophilic Balance),1,0.3496503497%,100%,,,,,,,,,,,,,,,,,,,,,,